epoch,accuracy,loss,val_accuracy,val_loss
0,0.7049999833106995,0.5964597463607788,0.8100000023841858,0.42876729369163513
1,0.82833331823349,0.41448846459388733,0.9300000071525574,0.1971147656440735
2,0.9116666913032532,0.24959203600883484,0.9333333373069763,0.19239917397499084
3,0.9483333230018616,0.14040713012218475,0.9733333587646484,0.09656140953302383
4,0.9662500023841858,0.093688003718853,0.971666693687439,0.09488624334335327
5,0.9800000190734863,0.05461657792329788,0.971666693687439,0.1269630342721939
6,0.9762499928474426,0.05133536458015442,0.9816666841506958,0.11428471654653549
7,0.98458331823349,0.05557594448328018,0.9733333587646484,0.09670257568359375
8,0.9866666793823242,0.044041238725185394,0.9783333539962769,0.11842279881238937
9,0.9883333444595337,0.03556666523218155,0.9833333492279053,0.10133959352970123
10,0.9916666746139526,0.025145407766103745,0.9700000286102295,0.19160279631614685
11,0.9862499833106995,0.04238311946392059,0.9666666388511658,0.21476897597312927
12,0.98458331823349,0.0442538782954216,0.9866666793823242,0.09158186614513397
13,0.9958333373069763,0.011586345732212067,0.9816666841506958,0.11923566460609436
14,0.9945833086967468,0.010893982835114002,0.9800000190734863,0.12510934472084045
15,0.9958333373069763,0.009453586302697659,0.9816666841506958,0.1868750900030136
16,0.9962499737739563,0.009686525911092758,0.9800000190734863,0.20595382153987885
17,0.9958333373069763,0.009416111744940281,0.9800000190734863,0.22759369015693665
18,0.9979166388511658,0.00556169031187892,0.9800000190734863,0.24679598212242126
19,0.9983333349227905,0.008079770021140575,0.9800000190734863,0.26738157868385315
20,0.9941666722297668,0.009179556742310524,0.9783333539962769,0.28557753562927246
